"","V1","V2","V3","V4","V5"
"1",0.216666666666667,0.166666666666667,0.266666666666667,0.183333333333333,0.166666666666667
"2",0.203389830508475,0.169491525423729,0.220338983050847,0.186440677966102,0.220338983050847
"3",0.183333333333333,0.216666666666667,0.183333333333333,0.233333333333333,0.183333333333333
"4",0.229508196721311,0.180327868852459,0.180327868852459,0.19672131147541,0.213114754098361
"5",0.183333333333333,0.166666666666667,0.233333333333333,0.216666666666667,0.2
"6",0.192982456140351,0.192982456140351,0.210526315789474,0.192982456140351,0.210526315789474
"7",0.206896551724138,0.172413793103448,0.224137931034483,0.206896551724138,0.189655172413793
"8",0.188679245283019,0.188679245283019,0.188679245283019,0.226415094339623,0.207547169811321
"9",0.186440677966102,0.23728813559322,0.186440677966102,0.203389830508475,0.186440677966102
"10",0.1875,0.15625,0.296875,0.203125,0.15625
"11",0.178571428571429,0.196428571428571,0.232142857142857,0.196428571428571,0.196428571428571
"12",0.189655172413793,0.224137931034483,0.206896551724138,0.206896551724138,0.172413793103448
"13",0.210526315789474,0.210526315789474,0.228070175438596,0.175438596491228,0.175438596491228
"14",0.196428571428571,0.214285714285714,0.232142857142857,0.178571428571429,0.178571428571429
"15",0.214285714285714,0.214285714285714,0.196428571428571,0.178571428571429,0.196428571428571
"16",0.172413793103448,0.206896551724138,0.189655172413793,0.258620689655172,0.172413793103448
"17",0.169491525423729,0.186440677966102,0.169491525423729,0.220338983050847,0.254237288135593
"18",0.166666666666667,0.216666666666667,0.166666666666667,0.25,0.2
"19",0.192982456140351,0.175438596491228,0.280701754385965,0.175438596491228,0.175438596491228
"20",0.209677419354839,0.193548387096774,0.274193548387097,0.161290322580645,0.161290322580645
"21",0.224137931034483,0.206896551724138,0.172413793103448,0.206896551724138,0.189655172413793
"22",0.189655172413793,0.206896551724138,0.206896551724138,0.189655172413793,0.206896551724138
"23",0.232142857142857,0.178571428571429,0.196428571428571,0.178571428571429,0.214285714285714
"24",0.210526315789474,0.210526315789474,0.192982456140351,0.210526315789474,0.175438596491228
"25",0.180327868852459,0.180327868852459,0.278688524590164,0.180327868852459,0.180327868852459
"26",0.185185185185185,0.222222222222222,0.185185185185185,0.222222222222222,0.185185185185185
"27",0.2,0.183333333333333,0.183333333333333,0.233333333333333,0.2
"28",0.218181818181818,0.181818181818182,0.2,0.2,0.2
"29",0.178571428571429,0.25,0.196428571428571,0.196428571428571,0.178571428571429
"30",0.203389830508475,0.186440677966102,0.220338983050847,0.169491525423729,0.220338983050847
"31",0.169491525423729,0.220338983050847,0.23728813559322,0.203389830508475,0.169491525423729
"32",0.192307692307692,0.192307692307692,0.230769230769231,0.192307692307692,0.192307692307692
"33",0.234375,0.171875,0.265625,0.171875,0.15625
"34",0.290322580645161,0.193548387096774,0.161290322580645,0.17741935483871,0.17741935483871
"35",0.203389830508475,0.186440677966102,0.169491525423729,0.271186440677966,0.169491525423729
"36",0.183333333333333,0.25,0.183333333333333,0.166666666666667,0.216666666666667
"37",0.185185185185185,0.203703703703704,0.203703703703704,0.222222222222222,0.185185185185185
"38",0.185185185185185,0.185185185185185,0.185185185185185,0.240740740740741,0.203703703703704
"39",0.169491525423729,0.186440677966102,0.23728813559322,0.220338983050847,0.186440677966102
"40",0.206896551724138,0.189655172413793,0.224137931034483,0.172413793103448,0.206896551724138
"41",0.1875,0.171875,0.234375,0.203125,0.203125
"42",0.166666666666667,0.316666666666667,0.183333333333333,0.166666666666667,0.166666666666667
"43",0.280701754385965,0.175438596491228,0.175438596491228,0.192982456140351,0.175438596491228
"44",0.203125,0.203125,0.21875,0.171875,0.203125
"45",0.189655172413793,0.206896551724138,0.189655172413793,0.241379310344828,0.172413793103448
"46",0.175438596491228,0.175438596491228,0.210526315789474,0.228070175438596,0.210526315789474
"47",0.178571428571429,0.178571428571429,0.232142857142857,0.232142857142857,0.178571428571429
"48",0.26984126984127,0.158730158730159,0.158730158730159,0.19047619047619,0.222222222222222
"49",0.185185185185185,0.240740740740741,0.185185185185185,0.185185185185185,0.203703703703704
"50",0.224137931034483,0.206896551724138,0.172413793103448,0.189655172413793,0.206896551724138
"51",0.163934426229508,0.229508196721311,0.19672131147541,0.229508196721311,0.180327868852459
